Italian,English
siepe,hedge
fanteria,infantry
addolorarsi,grieve sorrow
dolore,grief sorrow pain
torcere,twist wrench
girare,spin whirl roll
cestino,basket
castigare,chasten
riflessione,reflection
stordire intontire,stun daze
Camm.a lunghi passi - passo, stride
lento fiacco,sluggish
pigro svogliato,idle listless
ingrandire ingigantire,enlarge
provocante- torio,defiant-ly
indegno-amente,unworth-ly
sottosopra,upside-down
Scarico sbocco sfogo,outlet
articolazione giunto,joint
involontario,unintended
spina dorsale,backbone
dispiacere,displease
appollaiato,roosted
corvo,raven
Astenersi, Refrain abstain forbear 
Trattenere,Restrain
Conservare, Retain
Catturato,Enraptured
Avventato,Reckless   unconscious 
Taccagno avaro,Stingy
Nervoso agitato,Jumpy jittery restless
Disperare disperazione,Despair
Invogliare tentare,Tempt
Intrinsecamente,Inherently
Irrigidire,Stiffen
feroce vizioso,vicious
da dove vieni per crederti di,where do you get off -ing
ingombrare,clutter
bucato lavanderia,laundry
nominare,appoint
distinguish make different,set apart
mettere da parte,set aside spare
ti dispiace se,do u mind
sganciare, unhook
È sposato con.., he's married to
spiegami questo,explain this to me
siamo 3 in famiglia, there are 3 of us
rinnovo,renewal
crogiolarsi,bask
borgo,borough
impegnarsi,commit
molo,pier wharf jetty quay
ammaccata,dented
scuffed,usurata consumata sfregiata
contuso-con lividi,bruised
smalto glassa, glaze
bagliore,glare flare
flaccido,flabby
portata,scope
per caso,by chance
grinza ruga,wrinkle
sciopero,strike
occhiata intravedere,glimpse glance
riscuaquare, rinse
subito,right away
